Hand,Rank,OrderedRank
Ks,Qs,Js,7s,1,1
Ks,Qs,Js,7h,1,1
Ks,Qs,Js,7d,1,1
Ks,Qs,Js,7c,1,1
Ks,Qs,Jh,7s,1,1
Ks,Qs,Jh,7h,1,1
Ks,Qs,Jh,7d,1,1
Ks,Qs,Jh,7c,1,1
Ks,Qs,Jd,7s,1,1
Ks,Qs,Jd,7h,1,1
Ks,Qs,Jd,7d,1,1
Ks,Qs,Jd,7c,1,1
Ks,Qs,Jc,7s,1,1
Ks,Qs,Jc,7h,1,1
Ks,Qs,Jc,7d,1,1
Ks,Qs,Jc,7c,1,1
Ks,Qh,Js,7s,1,1
Ks,Qh,Js,7h,1,1
Ks,Qh,Js,7d,1,1
Ks,Qh,Js,7c,1,1
Ks,Qh,Jh,7s,1,1
Ks,Qh,Jh,7h,1,1
Ks,Qh,Jh,7d,1,1
Ks,Qh,Jh,7c,1,1
Ks,Qh,Jd,7s,1,1
Ks,Qh,Jd,7h,1,1
Ks,Qh,Jd,7d,1,1
Ks,Qh,Jd,7c,1,1
Ks,Qh,Jc,7s,1,1
Ks,Qh,Jc,7h,1,1
Ks,Qh,Jc,7d,1,1
Ks,Qh,Jc,7c,1,1
Ks,Qd,Js,7s,1,1
Ks,Qd,Js,7h,1,1
Ks,Qd,Js,7d,1,1
Ks,Qd,Js,7c,1,1
Ks,Qd,Jh,7s,1,1
Ks,Qd,Jh,7h,1,1
Ks,Qd,Jh,7d,1,1
Ks,Qd,Jh,7c,1,1
Ks,Qd,Jd,7s,1,1
Ks,Qd,Jd,7h,1,1
Ks,Qd,Jd,7d,1,1
Ks,Qd,Jd,7c,1,1
Ks,Qd,Jc,7s,1,1
Ks,Qd,Jc,7h,1,1
Ks,Qd,Jc,7d,1,1
Ks,Qd,Jc,7c,1,1
Ks,Qc,Js,7s,1,1
Ks,Qc,Js,7h,1,1
Ks,Qc,Js,7d,1,1
Ks,Qc,Js,7c,1,1
Ks,Qc,Jh,7s,1,1
Ks,Qc,Jh,7h,1,1
Ks,Qc,Jh,7d,1,1
Ks,Qc,Jh,7c,1,1
Ks,Qc,Jd,7s,1,1
Ks,Qc,Jd,7h,1,1
Ks,Qc,Jd,7d,1,1
Ks,Qc,Jd,7c,1,1
Ks,Qc,Jc,7s,1,1
Ks,Qc,Jc,7h,1,1
Ks,Qc,Jc,7d,1,1
Ks,Qc,Jc,7c,1,1
Kh,Qs,Js,7s,1,1
Kh,Qs,Js,7h,1,1
Kh,Qs,Js,7d,1,1
Kh,Qs,Js,7c,1,1
Kh,Qs,Jh,7s,1,1
Kh,Qs,Jh,7h,1,1
Kh,Qs,Jh,7d,1,1
Kh,Qs,Jh,7c,1,1
Kh,Qs,Jd,7s,1,1
Kh,Qs,Jd,7h,1,1
Kh,Qs,Jd,7d,1,1
Kh,Qs,Jd,7c,1,1
Kh,Qs,Jc,7s,1,1
Kh,Qs,Jc,7h,1,1
Kh,Qs,Jc,7d,1,1
Kh,Qs,Jc,7c,1,1
Kh,Qh,Js,7s,1,1
Kh,Qh,Js,7h,1,1
Kh,Qh,Js,7d,1,1
Kh,Qh,Js,7c,1,1
Kh,Qh,Jh,7s,1,1
Kh,Qh,Jh,7h,1,1
Kh,Qh,Jh,7d,1,1
Kh,Qh,Jh,7c,1,1
Kh,Qh,Jd,7s,1,1
Kh,Qh,Jd,7h,1,1
Kh,Qh,Jd,7d,1,1
Kh,Qh,Jd,7c,1,1
Kh,Qh,Jc,7s,1,1
Kh,Qh,Jc,7h,1,1
Kh,Qh,Jc,7d,1,1
Kh,Qh,Jc,7c,1,1
Kh,Qd,Js,7s,1,1
Kh,Qd,Js,7h,1,1
Kh,Qd,Js,7d,1,1
Kh,Qd,Js,7c,1,1
Kh,Qd,Jh,7s,1,1
Kh,Qd,Jh,7h,1,1
Kh,Qd,Jh,7d,1,1
Kh,Qd,Jh,7c,1,1
Kh,Qd,Jd,7s,1,1
Kh,Qd,Jd,7h,1,1
Kh,Qd,Jd,7d,1,1
Kh,Qd,Jd,7c,1,1
Kh,Qd,Jc,7s,1,1
Kh,Qd,Jc,7h,1,1
Kh,Qd,Jc,7d,1,1
Kh,Qd,Jc,7c,1,1
Kh,Qc,Js,7s,1,1
Kh,Qc,Js,7h,1,1
Kh,Qc,Js,7d,1,1
Kh,Qc,Js,7c,1,1
Kh,Qc,Jh,7s,1,1
Kh,Qc,Jh,7h,1,1
Kh,Qc,Jh,7d,1,1
Kh,Qc,Jh,7c,1,1
Kh,Qc,Jd,7s,1,1
Kh,Qc,Jd,7h,1,1
Kh,Qc,Jd,7d,1,1
Kh,Qc,Jd,7c,1,1
Kh,Qc,Jc,7s,1,1
Kh,Qc,Jc,7h,1,1
Kh,Qc,Jc,7d,1,1
Kh,Qc,Jc,7c,1,1
Kd,Qs,Js,7s,1,1
Kd,Qs,Js,7h,1,1
Kd,Qs,Js,7d,1,1
Kd,Qs,Js,7c,1,1
Kd,Qs,Jh,7s,1,1
Kd,Qs,Jh,7h,1,1
Kd,Qs,Jh,7d,1,1
Kd,Qs,Jh,7c,1,1
Kd,Qs,Jd,7s,1,1
Kd,Qs,Jd,7h,1,1
Kd,Qs,Jd,7d,1,1
Kd,Qs,Jd,7c,1,1
Kd,Qs,Jc,7s,1,1
Kd,Qs,Jc,7h,1,1
Kd,Qs,Jc,7d,1,1
Kd,Qs,Jc,7c,1,1
Kd,Qh,Js,7s,1,1
Kd,Qh,Js,7h,1,1
Kd,Qh,Js,7d,1,1
Kd,Qh,Js,7c,1,1
Kd,Qh,Jh,7s,1,1
